User Id,Type,Worked,Hours-1,Hours-2,Hours-3,Hours-4,Hours-5,Hours-6,Hours-7,Project,Category
dbarrow,T,1-Feb-12,1,0,0,0,0,0,0,10035,SSM
psia,V,1-Feb-12,0.25,0,0,0,0,0,0,ZMSVIC,LPRS
psia,V,1-Feb-12,0.75,0,0,0,0,0,0,ZMSVIC,LTM
jfitzgerald,V,1-Feb-12,1,0,0,0,0,0,0,ZOVIC,ABAN
rgill,V,1-Feb-12,1,0,0,0,0,0,0,P1210,PED
mpatel,V,1-Feb-12,1,0,0,0,0,0,0,P1082,PED
msams,V,1-Feb-12,1,0,0,0,0,0,0,146-001,SAM
syeoh,V,1-Feb-12,2,0,0,0,0,0,0,T003322,LEQ
chedditch,W,1-Feb-12,3,0,0,0,0,0,0,652,SSP
cwatts,W,1-Feb-12,1.5,0,0,0,0,0,0,P1084,PC
jchin,V,1-Feb-12,2,0,0,0,0,0,0,T002587,LEQ
jchin,V,1-Feb-12,2,0,0,0,0,0,0,T002857,LEQ
mdowling,W,1-Feb-12,2,0,0,0,0,0,0,P1249,PED
mdowling,W,1-Feb-12,2,0,0,0,0,0,0,681,SSP
sfield,V,1-Feb-12,2,0,0,0,0,0,0,T003304,LEQ
sfield,V,1-Feb-12,2,0,0,0,0,0,0,T003324,LEQ
lhaack,V,1-Feb-12,2,0,0,0,0,0,0,P1207,PED
ahamilton,V,1-Feb-12,2,0,0,0,0,0,0,ZDEV022,DDEV
ahamilton,V,1-Feb-12,2,0,0,0,0,0,0,ZDEV022,DDEV
rhayward,U,1-Feb-12,2,0,0,0,0,0,0,ZOACT,LSC
rhayward,V,1-Feb-12,2,0,0,0,0,0,0,ZOACT,ASER
gnash,V,1-Feb-12,2,0,0,0,0,0,0,ZENAS001,LTRN
msams,V,1-Feb-12,2,0,0,0,0,0,0,27-003,SAM
msams,W,1-Feb-12,2,0,0,0,0,0,0,T003476,LEQ
msams,W,1-Feb-12,2,0,0,0,0,0,0,T003438,LEQ
stendulkar,W,1-Feb-12,2,0,0,0,0,0,0,ZETEN001,LP
cwatts,W,1-Feb-12,2,0,0,0,0,0,0,P1242,PC
cwatts,W,1-Feb-12,2,0,0,0,0,0,0,P1202,PWD
awelsby,V,1-Feb-12,2,0,0,0,0,0,0,T002716,LAM
cwatts,W,1-Feb-12,2.5,0,0,0,0,0,0,P1228,PED
jfitzgerald,V,1-Feb-12,3,0,0,0,0,0,0,ZOVIC,AAP
egan,V,1-Feb-12,3,0,0,0,0,0,0,P1057,PED
lhaack,W,1-Feb-12,3,0,0,0,0,0,0,P1057,PSM
lhaack,V,1-Feb-12,3,0,0,0,0,0,0,P1132,PED
dhart,W,1-Feb-12,4,0,0,0,0,0,0,682,SSP
mharika,W,1-Feb-12,4,0,0,0,0,0,0,682,SSP
djohnstone,W,1-Feb-12,4,0,0,0,0,0,0,12681,SCO
gkaicer,W,1-Feb-12,4.5,0,0,0,0,0,0,580,SSP
nkong,V,1-Feb-12,3,0,0,0,0,0,0,ZOVIC,AINV
ikusnandar,W,1-Feb-12,3,0,0,0,0,0,0,P1046,PC
klo,W,1-Feb-12,3,0,0,0,0,0,0,P1156,PC
mpatel,V,1-Feb-12,3,0,0,0,0,0,0,P1096,PED
psia,U,1-Feb-12,3,0,0,0,0,0,0,T002684,LSC
stendulkar,W,1-Feb-12,3,0,0,0,0,0,0,ZETEN001,LSC
stendulkar,W,1-Feb-12,3,0,0,0,0,0,0,ZETEN001,LEQ
ablair,W,1-Feb-12,4,0,0,0,0,0,0,P1134,PC
ablair,V,1-Feb-12,4,0,0,0,0,0,0,P1231,PED
jchin,W,1-Feb-12,4,0,0,0,0,0,0,T002636,LSC
mdowling,W,1-Feb-12,4,0,0,0,0,0,0,TP028M,PED
sfield,W,1-Feb-12,4,0,0,0,0,0,0,30-007,SAM
jfitzgerald,V,1-Feb-12,4,0,0,0,0,0,0,ZOVIC,AAR
ahamilton,V,1-Feb-12,4,0,0,0,0,0,0,ZDEV039,DDEV
rhayward,U,1-Feb-12,4,0,0,0,0,0,0,T003342,LEQ
djennings,W,1-Feb-12,4,0,0,0,0,0,0,P1238,PSM
djennings,W,1-Feb-12,4,0,0,0,0,0,0,P1137,PSM
djohnstone,W,1-Feb-12,1,0,0,0,0,0,0,12580,SCO
mpatel,W,1-Feb-12,4,0,0,0,0,0,0,P1252,PSM
ksanders,V,1-Feb-12,4,0,0,0,0,0,0,ZDEV002,DDEV
ksanders,V,1-Feb-12,4,0,0,0,0,0,0,ZDEV039,DOVR
psia,V,1-Feb-12,4,0,0,0,0,0,0,T002684,LEQ
rthomas,W,1-Feb-12,4,0,0,0,0,0,0,P1094,PED
rthomas,W,1-Feb-12,4,0,0,0,0,0,0,P1211,PS
jtrofimiuk,V,1-Feb-12,4,0,0,0,0,0,0,T002651,LEQ
jtrofimiuk,V,1-Feb-12,4,0,0,0,0,0,0,T003337,LEQ
avellios,V,1-Feb-12,4,0,0,0,0,0,0,P1211,PG
avellios,V,1-Feb-12,4,0,0,0,0,0,0,P1211,PS
sdownes,W,1-Feb-12,6,0,0,0,0,0,0,580,SSP
egan,W,1-Feb-12,5,0,0,0,0,0,0,P1107,PED
chedditch,V,1-Feb-12,5,0,0,0,0,0,0,P1130,PS
nkong,V,1-Feb-12,5,0,0,0,0,0,0,ZOVIC,AAP
ikusnandar,V,1-Feb-12,5,0,0,0,0,0,0,N188M,PED
klo,W,1-Feb-12,5,0,0,0,0,0,0,P467M,PWD
msams,W,1-Feb-12,5,0,0,0,0,0,0,62-004,SAM
dbarrow,W,1-Feb-12,0,0,0,0,0,0,0,10035,SSM
gnash,V,1-Feb-12,6,0,0,0,0,0,0,T003321,LEQ
msams,W,1-Feb-12,6,0,0,0,0,0,0,ZSNSW,LEQ
awelsby,V,1-Feb-12,6,0,0,0,0,0,0,P1124,PC
dbarrow,W,1-Feb-12,7,0,0,0,0,0,0,10035,SSM
bbilleaud,W,1-Feb-12,8,0,0,0,0,0,0,654,SSP
gabernethy,W,1-Feb-12,8,0,0,0,0,0,0,ZSNSW,ST
sdownes,W,1-Feb-12,2,0,0,0,0,0,0,682,SSP
jerriquez,W,1-Feb-12,8,0,0,0,0,0,0,679,SAM
rgill,V,1-Feb-12,7,0,0,0,0,0,0,P1117,PED
hgreen,W,1-Feb-12,8,0,0,0,0,0,0,638,SSP
nheydon,W,1-Feb-12,8,0,0,0,0,0,0,599,SSP
whinton,V,1-Feb-12,8,0,0,0,0,0,0,ZSWA,LEQ
djohnstone,W,1-Feb-12,3,0,0,0,0,0,0,10009,SSM
kmcdonald,U,1-Feb-12,8,0,0,0,0,0,0,ZEMCD001,ST
mmcgrath,W,1-Feb-12,8,0,0,0,0,0,0,10085,SSM
cmerrigan,W,1-Feb-12,8,0,0,0,0,0,0,10094,SSM
gmidgley,W,1-Feb-12,8,0,0,0,0,0,0,ZEMID001,ST
dobrien,W,1-Feb-12,8.5,0.5,0,0,0,0,0,675,SSP
areid,W,1-Feb-12,8,0,0,0,0,0,0,582,SSP
truderman,W,1-Feb-12,8,0,0,0,0,0,0,617,SSP
srutherford,W,1-Feb-12,8,0,0,0,0,0,0,10095,SSM
srutherford,W,1-Feb-12,0,0,0,0,0,0,0,10095,SSM
