User Id,Type,Worked,Hours-1,Hours-2,Hours-3,Hours-4,Hours-5,Hours-6,Hours-7,Project,Category
skarim,W,1-Mar-12,8,2,4,0,0,0,0,1246,PI
mhardwick,W,1-Mar-12,24,0,0,0,0,0,0,13244,PI
jcoleman,E,1-Mar-12,7.6,0.4,0,0,0,0,0,ZECOL001,PT
kcollins,E,1-Mar-12,7.6,0.4,0,0,0,0,0,ZECOL001,PT
mhardwick,W,1-Mar-12,-24,0,0,0,0,0,0,1241,PI
bmorrissey,W,1-Mar-12,8,1,0,0,0,0,0,1082,PI
sgobbi,V,1-Mar-12,8,2,0,0,0,0,0,1243,PI
mhardwick,W,1-Mar-12,7.6,2,0.4,0,0,0,0,1241,PI
dmagee,W,1-Mar-12,8,2,0,0,0,0,0,1243,PI
jmcintyre,W,1-Mar-12,8,2,1,0,0,0,0,1225,PI
dmillward,W,1-Mar-12,8,2,1,0,0,0,0,1225,PI
sishields,W,1-Mar-12,8,2,2,0,0,0,0,1227,PI
acarr,V,1-Mar-12,8,2,5,0,0,0,0,1227,PI
jcarpani,V,1-Mar-12,8,2,5,0,0,0,0,1227,PI
dhart,V,1-Mar-12,8,2,5,0,0,0,0,1227,PI
mharika,V,1-Mar-12,8,2,5,0,0,0,0,1227,PI
skarim,W,2-Mar-12,8,2,2,0,0,0,0,1246,PI
jcoleman,A,2-Mar-12,7.6,0,0,0,0,0,0,ZECOL001,GLAL
kcollins,A,2-Mar-12,7.6,0,0,0,0,0,0,ZECOL001,GLAL
sgobbi,V,2-Mar-12,8,0,0,0,0,0,0,188,PI
dmagee,W,2-Mar-12,8,0,0,0,0,0,0,188,PI
jmcintyre,W,2-Mar-12,8,0,0,0,0,0,0,1096,PI
bmorrissey,W,2-Mar-12,8,1,0,0,0,0,0,1082,PI
mhardwick,W,2-Mar-12,7.6,2,0.4,0,0,0,0,1241,PI
dmillward,W,2-Mar-12,8,2,0,0,0,0,0,1227,PI
acarr,V,2-Mar-12,8,2,1,0,0,0,0,1227,PI
jcarpani,V,2-Mar-12,8,2,1,0,0,0,0,1227,PI
dhart,V,2-Mar-12,8,2,1,0,0,0,0,1227,PI
mharika,V,2-Mar-12,8,2,1,0,0,0,0,1227,PI
sishields,W,2-Mar-12,8,2,2,0,0,0,0,1227,PI
jmcintyre,W,3-Mar-12,0,2,2,0,0,0,0,1096,PI
skarim,W,3-Mar-12,0,2,6,0,0,0,0,1246,PI
