User Id,Type,Worked,Hours-1,Hours-2,Hours-3,Hours-4,Hours-5,Hours-6,Hours-7,Project,Category
mdelorenzis,W,1-Mar-12,4,0,0,0,0,0,0,1048,PI
adelorenzis,W,1-Mar-12,4,0,0,0,0,0,0,1048,PI
ebuccella,V,1-Mar-12,8,0,0,0,0,0,0,1107,PI
ccrinis,V,1-Mar-12,8,0,0,0,0,0,0,1145,PI
mdelorenzis,W,1-Mar-12,4,0,0,0,0,0,0,1132,PI
adelorenzis,W,1-Mar-12,4,0,0,0,0,0,0,1132,PI
sdelorenzis,V,1-Mar-12,8,0,0,0,0,0,0,1089,PI
rdelorenzis,X,1-Mar-12,8,0,0,0,0,0,0,ZEDEL003,GLUP
thester,W,1-Mar-12,8,0,0,0,0,0,0,1145,PI
mkraus,V,1-Mar-12,8,0,0,0,0,0,0,1207,PI
mmckeon,W,1-Mar-12,8,0,0,0,0,0,0,1260,PI
eponzo,W,1-Mar-12,8,0,0,0,0,0,0,1207,PI
cpowell,X,1-Mar-12,8,0,0,0,0,0,0,ZEPOW001,GLUP
dtran,E,1-Mar-12,8,0,0,0,0,0,0,ZETRA001,PT
dtyrell,A,1-Mar-12,8,0,0,0,0,0,0,ZETYR001,GLAL
bvassallo,W,1-Mar-12,8,0,0,0,0,0,0,1107,PI
ebuccella,V,2-Mar-12,8,0,0,0,0,0,0,1107,PI
ccrinis,V,2-Mar-12,8,0,0,0,0,0,0,1094,PI
mdelorenzis,W,2-Mar-12,8,0,0,0,0,0,0,1048,PI
adelorenzis,W,2-Mar-12,8,0,0,0,0,0,0,1048,PI
sdelorenzis,V,2-Mar-12,8,0,0,0,0,0,0,1089,PI
rdelorenzis,X,2-Mar-12,8,0,0,0,0,0,0,ZEDEL003,GLUP
mkraus,A,2-Mar-12,8,0,0,0,0,0,0,ZEKRA001,GLAL
mmckeon,W,2-Mar-12,8,0,0,0,0,0,0,1260,PI
eponzo,W,2-Mar-12,8,0,0,0,0,0,0,1240,PI
cpowell,X,2-Mar-12,8,0,0,0,0,0,0,ZEPOW001,GLUP
dtran,V,2-Mar-12,8,0,0,0,0,0,0,1260,PI
dtyrell,W,2-Mar-12,8,0,0,0,0,0,0,1262,PI
bvassallo,W,2-Mar-12,8,0,0,0,0,0,0,1107,PI
thester,W,2-Mar-12,8,0,1,0,0,0,0,1145,PI
thester,W,3-Mar-12,0,0,5,0,0,0,0,1145,PI
thester,W,4-Mar-12,0,0,9,0,0,0,0,1145,PI
ebuccella,V,5-Mar-12,8,0,0,0,0,0,0,1107,PI
mdelorenzis,W,5-Mar-12,8,0,0,0,0,0,0,1048,PI
adelorenzis,W,5-Mar-12,8,0,0,0,0,0,0,1048,PI
sdelorenzis,V,5-Mar-12,8,0,0,0,0,0,0,1089,PI
rdelorenzis,X,5-Mar-12,8,0,0,0,0,0,0,ZEDEL003,GLUP
mkraus,A,5-Mar-12,8,0,0,0,0,0,0,ZEKRA001,GLAL
cpowell,X,5-Mar-12,8,0,0,0,0,0,0,ZEPOW001,GLUP
dtran,V,5-Mar-12,8,0,0,0,0,0,0,1260,PI
dtyrell,W,5-Mar-12,8,0,0,0,0,0,0,1262,PI
bvassallo,W,5-Mar-12,8,0,0,0,0,0,0,1107,PI
ccrinis,V,5-Mar-12,8,0,1,0,0,0,0,1145,PI
thester,W,5-Mar-12,8,0,2.5,0,0,0,0,1145,PI
mmckeon,W,5-Mar-12,8,0,4,0,0,0,0,1246,PI
eponzo,W,5-Mar-12,8,0,4,0,0,0,0,1246,PI
mdelorenzis,W,6-Mar-12,6,0,0,0,0,0,0,1048,PI
adelorenzis,W,6-Mar-12,6,0,0,0,0,0,0,1048,PI
ebuccella,E,6-Mar-12,8,0,0,0,0,0,0,ZEBUC001,PT
mdelorenzis,W,6-Mar-12,2,0,0,0,0,0,0,1138,PI
adelorenzis,W,6-Mar-12,2,0,0,0,0,0,0,1138,PI
sdelorenzis,V,6-Mar-12,8,0,0,0,0,0,0,1089,PI
rdelorenzis,X,6-Mar-12,8,0,0,0,0,0,0,ZEDEL003,GLUP
mkraus,A,6-Mar-12,8,0,0,0,0,0,0,ZEKRA001,GLAL
cpowell,X,6-Mar-12,8,0,0,0,0,0,0,ZEPOW001,GLUP
dtran,V,6-Mar-12,8,0,0,0,0,0,0,1260,PI
dtyrell,W,6-Mar-12,8,0,0,0,0,0,0,1089,PI
bvassallo,W,6-Mar-12,8,0,0,0,0,0,0,1107,PI
thester,W,6-Mar-12,8,0,2,0,0,0,0,1145,PI
ccrinis,V,6-Mar-12,8,0,2.5,0,0,0,0,1145,PI
mmckeon,W,6-Mar-12,8,0,7,0,0,0,0,1246,PI
eponzo,W,6-Mar-12,8,0,7,0,0,0,0,1246,PI
ebuccella,V,7-Mar-12,8,0,0,0,0,0,0,1107,PI
mdelorenzis,S,7-Mar-12,8,0,0,0,0,0,0,ZEDEL001,GLS
adelorenzis,S,7-Mar-12,8,0,0,0,0,0,0,ZEDEL001,GLS
sdelorenzis,V,7-Mar-12,8,0,0,0,0,0,0,1089,PI
rdelorenzis,X,7-Mar-12,8,0,0,0,0,0,0,ZEDEL003,GLUP
mkraus,V,7-Mar-12,8,0,0,0,0,0,0,1207,PI
cpowell,X,7-Mar-12,8,0,0,0,0,0,0,ZEPOW001,GLUP
dtran,V,7-Mar-12,8,0,0,0,0,0,0,1260,PI
dtyrell,W,7-Mar-12,8,0,0,0,0,0,0,1089,PI
bvassallo,W,7-Mar-12,8,0,0,0,0,0,0,1107,PI
ccrinis,V,7-Mar-12,8,0,2,0,0,0,0,1145,PI
thester,W,7-Mar-12,8,0,2,0,0,0,0,1145,PI
mmckeon,W,7-Mar-12,8,0,5,0,0,0,0,1246,PI
eponzo,W,7-Mar-12,8,0,5,0,0,0,0,1246,PI
ccrinis,V,8-Mar-12,4,0,0,0,0,0,0,1132,PI
thester,W,8-Mar-12,4,0,0,0,0,0,0,1132,PI
dtyrell,W,8-Mar-12,4,0,0,0,0,0,0,1262,PI
mmckeon,W,8-Mar-12,5,0,0,0,0,0,0,1246,PI
eponzo,W,8-Mar-12,5,0,0,0,0,0,0,1246,PI
ebuccella,V,8-Mar-12,8,0,0,0,0,0,0,1107,PI
mdelorenzis,S,8-Mar-12,8,0,0,0,0,0,0,ZEDEL001,GLS
adelorenzis,S,8-Mar-12,8,0,0,0,0,0,0,ZEDEL001,GLS
sdelorenzis,V,8-Mar-12,8,0,0,0,0,0,0,1089,PI
rdelorenzis,X,8-Mar-12,8,0,0,0,0,0,0,ZEDEL003,GLUP
mkraus,V,8-Mar-12,8,0,0,0,0,0,0,1207,PI
cpowell,X,8-Mar-12,8,0,0,0,0,0,0,ZEPOW001,GLUP
dtran,E,8-Mar-12,8,0,0,0,0,0,0,ZETRA001,PT
dtyrell,W,8-Mar-12,4,0,0,0,0,0,0,1089,PI
bvassallo,W,8-Mar-12,8,0,0,0,0,0,0,1107,PI
ccrinis,V,8-Mar-12,4,0,1,0,0,0,0,1145,PI
thester,W,8-Mar-12,4,0,1,0,0,0,0,1145,PI
mmckeon,W,8-Mar-12,3,0,2,0,0,0,0,1246,PI
eponzo,W,8-Mar-12,3,0,2,0,0,0,0,1246,PI
