User Id,Type,Worked,Hours-1,Hours-2,Hours-3,Hours-4,Hours-5,Hours-6,Hours-7,Project,Category
jcoleman,X,1-Mar-12,8,0,0,0,0,0,0,ZECOL001,GLUP
kcollins,X,1-Mar-12,8,0,0,0,0,0,0,ZECOL001,GLUP
otuthill,W,1-Mar-12,8,0,0,0,0,0,0,1084,PI
knolan,W,1-Mar-12,8,1,0,0,0,0,0,1098,PI
skirbride,V,1-Mar-12,8,2,2,0,0,0,0,1080,PI
emurphy,W,1-Mar-12,8,2,2,0,0,0,0,1080,PI
mmurphy,W,1-Mar-12,8,2,2,0,0,0,0,1080,PI
fcondello,W,1-Mar-12,8,2,2.5,0,0,0,0,1098,PI
jcoleman,W,2-Mar-12,8,0,0,0,0,0,0,1084,PI
kcollins,W,2-Mar-12,8,0,0,0,0,0,0,1084,PI
otuthill,W,2-Mar-12,8,0,0,0,0,0,0,1084,PI
knolan,W,2-Mar-12,8,1,0,0,0,0,0,1098,PI
fcondello,W,2-Mar-12,8,2,0,0,0,0,0,1098,PI
skirbride,V,2-Mar-12,8,2,2,0,0,0,0,1080,PI
emurphy,W,2-Mar-12,8,2,5,0,0,0,0,1080,PI
mmurphy,W,2-Mar-12,8,2,5,0,0,0,0,1080,PI
knolan,W,3-Mar-12,0,2,6,0,0,0,0,1098,PI
fcondello,W,3-Mar-12,0,2,7,0,0,0,0,1098,PI
skirbride,V,3-Mar-12,0,2,9,0,0,0,0,1080,PI
skirbride,V,4-Mar-12,0,0,5,0,0,0,0,1080,PI
jcoleman,P,5-Mar-12,8,0,0,0,0,0,0,ZECOL001,GLPH
kcollins,P,5-Mar-12,8,0,0,0,0,0,0,ZECOL001,GLPH
fcondello,P,5-Mar-12,8,0,0,0,0,0,0,ZECON001,GLPH
emurphy,P,5-Mar-12,8,0,0,0,0,0,0,ZEMUR001,GLPH
mmurphy,P,5-Mar-12,8,0,0,0,0,0,0,ZEMUR001,GLPH
knolan,P,5-Mar-12,8,0,0,0,0,0,0,ZENOL001,GLPH
otuthill,P,5-Mar-12,8,0,0,0,0,0,0,ZETUT001,GLPH
skirbride,V,5-Mar-12,0,0,12,0,0,0,0,1080,PI
jcoleman,R,6-Mar-12,8,0,0,0,0,0,0,ZECOL001,GLRD
kcollins,R,6-Mar-12,8,0,0,0,0,0,0,ZECOL001,GLRD
fcondello,R,6-Mar-12,8,0,0,0,0,0,0,ZECON001,GLRD
emurphy,W,6-Mar-12,8,0,0,0,0,0,0,1002,PI
mmurphy,W,6-Mar-12,8,0,0,0,0,0,0,1002,PI
knolan,R,6-Mar-12,8,0,0,0,0,0,0,ZENOL001,GLRD
otuthill,R,6-Mar-12,8,0,0,0,0,0,0,ZETUT001,GLRD
skirbride,V,6-Mar-12,8,2,2,0,0,0,0,1080,PI
jcoleman,W,7-Mar-12,8,0,0,0,0,0,0,1084,PI
kcollins,W,7-Mar-12,8,0,0,0,0,0,0,1084,PI
emurphy,W,7-Mar-12,8,0,0,0,0,0,0,1072,PI
mmurphy,W,7-Mar-12,8,0,0,0,0,0,0,1072,PI
otuthill,W,7-Mar-12,8,0,0,0,0,0,0,1084,PI
knolan,W,7-Mar-12,8,0.5,0,0,0,0,0,1098,PI
fcondello,W,7-Mar-12,8,2,1,0,0,0,0,1098,PI
skirbride,V,7-Mar-12,8,2,2,0,0,0,0,1080,PI
otuthill,W,8-Mar-12,8,0,0,0,0,0,0,1084,PI
jcoleman,W,8-Mar-12,8,1,0,0,0,0,0,1084,PI
kcollins,W,8-Mar-12,8,1,0,0,0,0,0,1084,PI
fcondello,W,8-Mar-12,8,2,0,0,0,0,0,1090,PI
knolan,W,8-Mar-12,8,2,0,0,0,0,0,1090,PI
skirbride,V,8-Mar-12,8,2,2,0,0,0,0,1080,PI
knolan,W,9-Mar-12,3,0,0,0,0,0,0,1212,PI
fcondello,W,9-Mar-12,6.5,0,0,0,0,0,0,1098,PI
otuthill,W,9-Mar-12,8,0,0,0,0,0,0,1084,PI
knolan,W,9-Mar-12,5,1,0,0,0,0,0,1098,PI
fcondello,W,9-Mar-12,1.5,1.5,0,0,0,0,0,1212,PI
jcoleman,W,9-Mar-12,8,2,0,0,0,0,0,1084,PI
kcollins,W,9-Mar-12,8,2,0,0,0,0,0,1084,PI
skirbride,V,9-Mar-12,8,2,2,0,0,0,0,1080,PI
jcoleman,W,10-Mar-12,0,2,5,0,0,0,0,1084,PI
kcollins,W,10-Mar-12,0,2,5,0,0,0,0,1084,PI
knolan,W,10-Mar-12,0,2,6,0,0,0,0,1084,PI
skirbride,V,10-Mar-12,0,2,11.5,0,0,0,0,1080,PI
skirbride,V,11-Mar-12,0,0,9,0,0,0,0,1080,PI
knolan,W,12-Mar-12,8,0,0,0,0,0,0,1098,PI
otuthill,R,12-Mar-12,8,0,0,0,0,0,0,ZETUT001,GLRD
jcoleman,W,12-Mar-12,8,0.5,0,0,0,0,0,1084,PI
kcollins,W,12-Mar-12,8,0.5,0,0,0,0,0,1084,PI
fcondello,W,12-Mar-12,8,2,1,0,0,0,0,1084,PI
skirbride,V,12-Mar-12,8,2,2,0,0,0,0,1080,PI
jcoleman,R,13-Mar-12,8,0,0,0,0,0,0,ZECOL001,GLRD
kcollins,R,13-Mar-12,8,0,0,0,0,0,0,ZECOL001,GLRD
knolan,W,13-Mar-12,8,0,0,0,0,0,0,1098,PI
otuthill,W,13-Mar-12,8,0,0,0,0,0,0,1084,PI
fcondello,W,13-Mar-12,8,1,0,0,0,0,0,1084,PI
skirbride,V,13-Mar-12,8,2,3,0,0,0,0,1080,PI
jcoleman,W,14-Mar-12,8,0,0,0,0,0,0,1084,PI
kcollins,W,14-Mar-12,8,0,0,0,0,0,0,1084,PI
knolan,W,14-Mar-12,8,0,0,0,0,0,0,1084,PI
otuthill,W,14-Mar-12,8,0,0,0,0,0,0,1084,PI
fcondello,W,14-Mar-12,8,1,0,0,0,0,0,1084,PI
fcondello,W,14-Mar-12,0,1,1,0,0,0,0,1090,PI
skirbride,V,14-Mar-12,8,2,3,0,0,0,0,1080,PI
jcoleman,W,15-Mar-12,8,0,0,0,0,0,0,ZECOL001,PT
kcollins,W,15-Mar-12,8,0,0,0,0,0,0,ZECOL001,PT
knolan,W,15-Mar-12,8,0,0,0,0,0,0,ZENOL001,PT
otuthill,W,15-Mar-12,8,0,0,0,0,0,0,1084,PI
fcondello,W,15-Mar-12,8,2,2,0,0,0,0,1084,PI
skirbride,V,15-Mar-12,8,2,2,0,0,0,0,1080,PI
otuthill,W,16-Mar-12,8,0,0,0,0,0,0,1084,PI
knolan,W,16-Mar-12,8,1.5,0,0,0,0,0,1098,PI
jcoleman,W,16-Mar-12,8,2,0.5,0,0,0,0,1084,PI
kcollins,W,16-Mar-12,8,2,0.5,0,0,0,0,1084,PI
fcondello,W,16-Mar-12,8,2,0.5,0,0,0,0,1098,PI
skirbride,V,16-Mar-12,8,2,2,0,0,0,0,1080,PI
jcoleman,W,17-Mar-12,0,2,3,0,0,0,0,1084,PI
kcollins,W,17-Mar-12,0,2,3,0,0,0,0,1084,PI
fcondello,W,17-Mar-12,0,2,6,0,0,0,0,1090,PI
skirbride,V,17-Mar-12,0,2,10,0,0,0,0,1080,PI
skirbride,V,18-Mar-12,0,0,9,0,0,0,0,1080,PI
knolan,R,19-Mar-12,8,0,0,0,0,0,0,ZENOL001,GLRD
otuthill,W,19-Mar-12,8,0,0,0,0,0,0,1084,PI
jcoleman,W,19-Mar-12,8,1,0,0,0,0,0,1084,PI
kcollins,W,19-Mar-12,8,1,0,0,0,0,0,1084,PI
fcondello,W,19-Mar-12,8,2,2,0,0,0,0,1090,PI
skirbride,V,19-Mar-12,8,2,2,0,0,0,0,1080,PI
otuthill,W,20-Mar-12,8,0,0,0,0,0,0,1084,PI
knolan,W,20-Mar-12,8,0.5,0,0,0,0,0,1098,PI
jcoleman,W,20-Mar-12,8,2,0,0,0,0,0,1084,PI
kcollins,W,20-Mar-12,8,2,0,0,0,0,0,1084,PI
fcondello,W,20-Mar-12,8,2,0,0,0,0,0,1090,PI
skirbride,V,20-Mar-12,8,2,3,0,0,0,0,1080,PI
knolan,W,21-Mar-12,8,0.5,0,0,0,0,0,1098,PI
fcondello,W,21-Mar-12,8,1,0,0,0,0,0,1090,PI
jcoleman,W,21-Mar-12,8,2,0,0,0,0,0,1084,PI
kcollins,W,21-Mar-12,8,2,0,0,0,0,0,1084,PI
otuthill,W,21-Mar-12,8,2,0,0,0,0,0,1084,PI
fcondello,W,21-Mar-12,0,1,4,0,0,0,0,1098,PI
skirbride,V,21-Mar-12,8,2,5,0,0,0,0,1080,PI
fcondello,W,22-Mar-12,6,0,0,0,0,0,0,1090,PC
jdetmar,W,22-Mar-12,7,0,0,0,0,0,0,1,PI
jdetmar,W,22-Mar-12,8,0,0,0,0,0,0,1084,PI
jdetmar,W,22-Mar-12,8,0,0,0,0,0,0,1084,PI
otuthill,V,22-Mar-12,8,0,0,0,0,0,0,1084,PI
knolan,W,22-Mar-12,8,0.5,0,0,0,0,0,1098,PI
jdetmar,W,22-Mar-12,8,0.5,0,0,0,0,0,1098,PI
jcoleman,W,22-Mar-12,8,2,0,0,0,0,0,1084,PI
kcollins,W,22-Mar-12,8,2,0,0,0,0,0,1084,PI
