Transaction,Project,Branch,Manager,Type,Cost,Document type
22-Aug-12,P1017,1030,LHAACK,PY,195,TS
22-Aug-12,P1017,1030,LHAACK,PY,162.5,TS
17-Apr-12,P1026,1030,LHAACK,IN,-8250,SO
17-Apr-12,P1026,1030,LHAACK,IN,-463,SO
16-May-12,P1026,1030,LHAACK,IN,-16500,SO
16-Jul-12,P1026,1030,LHAACK,IN,-24750,SO
17-Sep-12,P1026,1030,LHAACK,IN,-4950,SO
15-Oct-12,P1026,1030,LHAACK,IN,-10689.3,SO
19-Dec-12,P1026,1030,LHAACK,PP,93.98,PO
30-Apr-12,P1026,1030,LHAACK,CI,5.45,CV
5-Mar-12,P1026,1030,LHAACK,PY,130,TS
5-Mar-12,P1026,1030,LHAACK,PY,130,TS
5-Mar-12,P1026,1030,LHAACK,PY,487.5,TS
5-Mar-12,P1026,1030,LHAACK,PY,48.75,TS
5-Mar-12,P1026,1030,LHAACK,PY,195,TS
5-Mar-12,P1026,1030,LHAACK,PY,195,TS
30-May-12,P1026,1030,LHAACK,PY,260,TS
21-Aug-12,P1026,1030,LHAACK,PY,487.5,TS
21-Aug-12,P1026,1030,LHAACK,PY,48.75,TS
21-Aug-12,P1026,1030,LHAACK,PY,390,TS
21-Aug-12,P1026,1030,LHAACK,PY,260,TS
21-Aug-12,P1026,1030,LHAACK,PY,260,TS
21-Aug-12,P1026,1030,LHAACK,PY,487.5,TS
21-Aug-12,P1026,1030,LHAACK,PY,48.75,TS
21-Aug-12,P1026,1030,LHAACK,PY,195,TS
21-Sep-12,P1026,1030,LHAACK,PY,260,TS
21-Sep-12,P1026,1030,LHAACK,PY,390,TS
21-Sep-12,P1026,1030,LHAACK,PY,260,TS
21-Oct-12,P1026,1030,LHAACK,PY,260,TS
21-Dec-12,P1026,1030,LHAACK,PY,260,TS
21-Jan-13,P1026,1030,LHAACK,PY,260,TS
5-Mar-12,P1026,1030,LHAACK,PY,130,TS
30-May-12,P1026,1030,LHAACK,PY,130,TS
6-Jul-12,P1026,1030,LHAACK,PY,260,TS
21-Aug-12,P1026,1030,LHAACK,PY,325,TS
21-Aug-12,P1026,1030,LHAACK,PY,130,TS
21-Aug-12,P1026,1030,LHAACK,PY,260,TS
21-Aug-12,P1026,1030,LHAACK,PY,130,TS
21-Sep-12,P1026,1030,LHAACK,PY,260,TS
21-Oct-12,P1026,1030,LHAACK,PY,487.5,TS
21-Oct-12,P1026,1030,LHAACK,PY,48.75,TS
24-Apr-12,P1026,1030,LHAACK,SI,377.09,SO
24-Apr-12,P1026,1030,LHAACK,SI,415.87,SO
24-Apr-12,P1026,1030,LHAACK,SI,132.3,SO
24-Apr-12,P1026,1030,LHAACK,SI,3116.86,SO
24-Apr-12,P1026,1030,LHAACK,SI,453.1,SO
24-Apr-12,P1026,1030,LHAACK,SI,468,SO
4-May-12,P1026,1030,LHAACK,SI,695.97,SO
4-May-12,P1026,1030,LHAACK,SI,2451.09,SO
9-May-12,P1026,1030,LHAACK,SI,3116.86,SO
18-Jun-12,P1026,1030,LHAACK,SI,680.79,SO
18-Jun-12,P1026,1030,LHAACK,SI,17.64,SO
5-Dec-12,P1026,1030,LHAACK,SI,17.64,SO
5-Dec-12,P1026,1030,LHAACK,SI,40.95,SO
5-Dec-12,P1026,1030,LHAACK,SI,27.73,SO
5-Dec-12,P1026,1030,LHAACK,SI,477.76,SO
2-May-12,P1026,1030,LHAACK,PP,1562.6,PO
2-May-12,P1026,1030,LHAACK,PP,1749.3,PO
2-May-12,P1026,1030,LHAACK,PP,-331.19,PO
2-May-12,P1026,1030,LHAACK,PP,15,PO
24-May-12,P1026,1030,LHAACK,PP,633.64,PO
31-Oct-12,P1026,1030,LHAACK,CI,17866.46,PO
30-May-12,P1026,1030,LHAACK,PY,130,TS
30-May-12,P1026,1030,LHAACK,PY,130,TS
30-May-12,P1026,1030,LHAACK,PY,195,TS
30-May-12,P1026,1030,LHAACK,PY,65,TS
21-Aug-12,P1026,1030,LHAACK,PY,130,TS
21-Oct-12,P1026,1030,LHAACK,PY,260,TS
21-Oct-12,P1026,1030,LHAACK,PY,325,TS
21-Oct-12,P1026,1030,LHAACK,PY,390,TS
21-Nov-12,P1026,1030,LHAACK,PY,487.5,TS
21-Nov-12,P1026,1030,LHAACK,PY,48.75,TS
21-Nov-12,P1026,1030,LHAACK,PY,130,TS
21-Nov-12,P1026,1030,LHAACK,PY,260,TS
21-Dec-12,P1026,1030,LHAACK,PY,260,TS
13-Sep-12,P1026,1030,LHAACK,JE,2475,GJ
16-May-12,P1210,1030,DHO,IN,-13420,SO
