Project,Branch,Manager,Type,Cost,Document type,ParentKey,Type,Category,Project Type,Arch Date Filter,Rep,Team Leader
11399,1020,TRABBIDGE,CN,65,SO,93-002,S,101,CO,14-Mar-12,JI,NH
11399,1020,TRABBIDGE,CN,936,SO,93-002,S,101,CO,14-Mar-12,JI,NH
11399,1020,TRABBIDGE,IN,-65,SO,93-002,S,101,CO,14-Mar-12,JI,NH
11399,1020,TRABBIDGE,IN,-936,SO,93-002,S,101,CO,14-Mar-12,JI,NH
11399,1020,TRABBIDGE,SI,0,SO,93-002,S,SPI,CO,14-Mar-12,JI,NH
11399,1020,TRABBIDGE,SI,0,SO,93-002,S,SPI,CO,14-Mar-12,JI,NH
12144,1021,GABERNETHY,PY,-1264,TS,160-001,S,SP,SQ,11-May-12,IU,AR
12144,1021,GABERNETHY,PY,-1264,TS,160-001,S,SP,SQ,11-May-12,IU,AR
12499,1050,MDOWLING,PY,261,TS,107-001,S,SCO,CA,11-May-12,RR,RR
12684,1080,MMCGRATH,IN,-6346.66,SO,85-001,S,101,SQ,28-Feb-12,MS,MS
12684,1080,MMCGRATH,PY,316,TS,85-001,S,SSM,SQ,28-Feb-12,MS,MS
12684,1080,MMCGRATH,PY,632,TS,85-001,S,SSM,SQ,28-Feb-12,MS,MS
12684,1080,MMCGRATH,PY,632,TS,85-001,S,SSM,SQ,28-Feb-12,MS,MS
12684,1080,MMCGRATH,PY,158,TS,85-001,S,SSM,SQ,28-Feb-12,MS,MS
12684,1080,MMCGRATH,PY,632,TS,85-001,S,SSM,SQ,28-Feb-12,MS,MS
12684,1080,MMCGRATH,IN,-6346.66,SO,85-001,S,101,SQ,28-Feb-12,MSA,MS
12684,1080,MMCGRATH,PY,316,TS,85-001,S,SSM,SQ,28-Feb-12,MSA,MS
12684,1080,MMCGRATH,PY,632,TS,85-001,S,SSM,SQ,28-Feb-12,MSA,MS
12684,1080,MMCGRATH,PY,632,TS,85-001,S,SSM,SQ,28-Feb-12,MSA,MS
12684,1080,MMCGRATH,PY,158,TS,85-001,S,SSM,SQ,28-Feb-12,MSA,MS
12684,1080,MMCGRATH,PY,632,TS,85-001,S,SSM,SQ,28-Feb-12,MSA,MS
12704,1050,MDOWLING,IN,-85,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,IN,-1012.5,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,IN,-279,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,IN,-1500,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,PP,11.91,PO,89-002,S,GOP,CA,20-Mar-12,RR,RR
12704,1050,MDOWLING,PY,-348,TS,89-002,S,SCO,CA,29-Feb-12,RR,RR
12704,1050,MDOWLING,PY,174,TS,89-002,S,SCO,CA,29-Feb-12,RR,RR
12704,1050,MDOWLING,PY,174,TS,89-002,S,SCO,CA,11-May-12,RR,RR
12704,1050,MDOWLING,PY,174,TS,89-002,S,SCO,CA,11-May-12,RR,RR
12704,1050,MDOWLING,PY,87,TS,89-002,S,SCO,CA,11-May-12,RR,RR
12704,1050,MDOWLING,PY,217.5,TS,89-002,S,SCO,CA,11-May-12,RR,RR
12704,1050,MDOWLING,SI,0,SO,89-002,S,SPI,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,IN,-85,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,IN,-1012.5,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,IN,-279,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,IN,-1500,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,PP,11.91,PO,89-002,S,GOP,CA,20-Mar-12,RR,RR
12704,1050,MDOWLING,PY,-348,TS,89-002,S,SCO,CA,29-Feb-12,RR,RR
12704,1050,MDOWLING,PY,174,TS,89-002,S,SCO,CA,29-Feb-12,RR,RR
12704,1050,MDOWLING,PY,174,TS,89-002,S,SCO,CA,11-May-12,RR,RR
12704,1050,MDOWLING,PY,174,TS,89-002,S,SCO,CA,11-May-12,RR,RR
