User Id,Type,Worked,Hours-1,Hours-2,Hours-3,Hours-4,Hours-5,Hours-6,Hours-7,Project,Category
mdowling,W,6-Sep-12,8,0,0,0,0,0,0,1249,PC
mdowling,W,7-Sep-12,8,1,0,0,0,0,0,1237,PC
mdowling,W,10-Sep-12,2,0,0,0,0,0,0,1329,PC
jdavies,V,10-Sep-12,4,0,0,0,0,0,0,1332,PI
mdowling,W,10-Sep-12,2,0,0,0,0,0,0,1332,PC
jdavies,V,10-Sep-12,4,0,0,0,0,0,0,1336,PI
mdowling,W,10-Sep-12,4,1,0,0,0,0,0,1336,PI
mdowling,W,11-Sep-12,7,0,0,0,0,0,0,1332,PC
jdavies,V,11-Sep-12,8.5,0,0,0,0,0,0,1332,PI
mdowling,W,11-Sep-12,1,1,0,0,0,0,0,1332,PC
mdowling,W,12-Sep-12,2,0,0,0,0,0,0,14229,PC
mdowling,W,12-Sep-12,2,0,0,0,0,0,0,14230,PC
jdavies,V,12-Sep-12,8,0,0,0,0,0,0,1332,PI
mdowling,W,12-Sep-12,4,1,0,0,0,0,0,1329,PC
mdowling,W,13-Sep-12,1.5,0,0,0,0,0,0,14230,PC
mdowling,W,13-Sep-12,6.5,0,0,0,0,0,0,1329,PC
jdavies,V,13-Sep-12,8,1,0,0,0,0,0,1329,PI
mdowling,W,14-Sep-12,1,0,0,0,0,0,0,1336,PI
jdavies,V,14-Sep-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,14-Sep-12,7,0,0,0,0,0,0,1329,PC
jdavies,V,17-Sep-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,17-Sep-12,8,0,0,0,0,0,0,1329,PC
mdowling,W,18-Sep-12,4,0,0,0,0,0,0,1249,PC
jdavies,V,18-Sep-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,18-Sep-12,4,0,0,0,0,0,0,1249,PED
mdowling,W,19-Sep-12,7,0,0,0,0,0,0,1249,PC
jdavies,V,19-Sep-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,19-Sep-12,1,1,0,0,0,0,0,1329,PC
mdowling,W,20-Sep-12,1.5,0,0,0,0,0,0,14230,PI
mdowling,W,20-Sep-12,2,0,0,0,0,0,0,1285,PI
jdavies,V,20-Sep-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,20-Sep-12,4.5,1,0,0,0,0,0,1329,PI
mdowling,W,21-Sep-12,2,0,0,0,0,0,0,1332,PI
jdavies,V,21-Sep-12,7,0,0,0,0,0,0,1329,PI
jdavies,V,21-Sep-12,1,0,0,0,0,0,0,1285,PI
mdowling,W,21-Sep-12,5,0,0,0,0,0,0,1329,PI
mdowling,W,21-Sep-12,1,0,0,0,0,0,0,1285,PI
mdowling,W,24-Sep-12,7,0,0,0,0,0,0,1285,PI
jdavies,V,24-Sep-12,8,0,0,0,0,0,0,1285,PI
mdowling,W,24-Sep-12,1,0,0,0,0,0,0,824,PI
mdowling,W,25-Sep-12,5,0,0,0,0,0,0,1285,PI
jdavies,V,25-Sep-12,8,0,0,0,0,0,0,1285,PI
mdowling,W,25-Sep-12,3,0,0,0,0,0,0,1329,PI
jdavies,V,26-Sep-12,2,0,0,0,0,0,0,1285,PI
mdowling,W,26-Sep-12,3,0,0,0,0,0,0,1336,PI
jdavies,V,26-Sep-12,6,0,0,0,0,0,0,1336,PI
mdowling,W,26-Sep-12,5,0,0,0,0,0,0,1332,PI
jdavies,V,27-Sep-12,8,0,0,0,0,0,0,1285,PI
mdowling,W,27-Sep-12,8,0,0,0,0,0,0,1285,PI
jdavies,V,28-Sep-12,5,0,0,0,0,0,0,1286,PI
mdowling,W,28-Sep-12,5,0,0,0,0,0,0,1286,PI
jdavies,V,28-Sep-12,3,1,0,0,0,0,0,824,PI
mdowling,W,28-Sep-12,3,1,0,0,0,0,0,824,PI
jdavies,P,1-Oct-12,8,0,0,0,0,0,0,ZEDAV002,GLPH
mdowling,P,1-Oct-12,8,0,0,0,0,0,0,ZEDOW002,GLPH
jdavies,V,2-Oct-12,8,0,0,0,0,0,0,824,PI
mdowling,R,2-Oct-12,8,0,0,0,0,0,0,ZEDOW002,GLRD
mdowling,W,3-Oct-12,4,0,0,0,0,0,0,1188,PI
jdavies,V,3-Oct-12,8,0,0,0,0,0,0,824,PI
mdowling,W,3-Oct-12,4,0,0,0,0,0,0,1192,PI
mdowling,W,4-Oct-12,1,0,0,0,0,0,0,1188,PI
mdowling,W,4-Oct-12,1,0,0,0,0,0,0,1192,PI
mdowling,W,4-Oct-12,2,0,0,0,0,0,0,1217,PI
jdavies,V,4-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,4-Oct-12,4,0,0,0,0,0,0,28,PI
jdavies,R,5-Oct-12,8,0,0,0,0,0,0,ZEDAV002,GLRD
mdowling,W,5-Oct-12,8,0,0,0,0,0,0,1217,PI
jdavies,V,8-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,8-Oct-12,8,0,0,0,0,0,0,1188,PI
mdowling,W,9-Oct-12,2,0,0,0,0,0,0,824,PI
jdavies,V,9-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,9-Oct-12,6,0,0,0,0,0,0,1329,PI
mdowling,W,10-Oct-12,5,0,0,0,0,0,0,1188,PI
jdavies,V,10-Oct-12,8,1,0,0,0,0,0,1329,PI
mdowling,W,10-Oct-12,3,1,0,0,0,0,0,1192,PI
mdowling,W,11-Oct-12,6,0,0,0,0,0,0,1188,PC
jdavies,V,11-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,11-Oct-12,2,0,0,0,0,0,0,1192,PC
mdowling,W,12-Oct-12,4,0,0,0,0,0,0,1188,PC
jdavies,V,12-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,12-Oct-12,4,1,0,0,0,0,0,1192,PC
mdowling,W,15-Oct-12,1,0,0,0,0,0,0,1329,PI
mdowling,W,15-Oct-12,2,0,0,0,0,0,0,697,PI
jdavies,V,15-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,15-Oct-12,5,0,0,0,0,0,0,1192,PC
mdowling,W,16-Oct-12,2,0,0,0,0,0,0,697,PI
jdavies,V,16-Oct-12,8,0,0,0,0,0,0,1237,PI
mdowling,W,16-Oct-12,6,0,0,0,0,0,0,1330,PI
mdowling,W,16-Oct-12,0,2,1,0,0,0,0,28,PED
jdavies,V,17-Oct-12,4,0,0,0,0,0,0,1329,PI
mdowling,W,17-Oct-12,4,0,0,0,0,0,0,28,PC
jdavies,V,17-Oct-12,4,0,0,0,0,0,0,1285,PI
mdowling,W,17-Oct-12,4,2,0,0,0,0,0,1188,PC
mdowling,W,18-Oct-12,5,0,0,0,0,0,0,1188,PC
jdavies,V,18-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,18-Oct-12,3,2,0,0,0,0,0,1192,PC
mdowling,W,19-Oct-12,5,0,0,0,0,0,0,1188,PC
jdavies,V,19-Oct-12,8,0,0,0,0,0,0,1192,PI
mdowling,W,19-Oct-12,3,0,0,0,0,0,0,1330,PI
mdowling,W,22-Oct-12,1,0,0,0,0,0,0,1285,PI
mdowling,W,22-Oct-12,2,0,0,0,0,0,0,1330,PI
mdowling,W,22-Oct-12,2,0,0,0,0,0,0,1192,PC
jdavies,V,22-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,22-Oct-12,3,1,0,0,0,0,0,1188,PC
mdowling,W,23-Oct-12,5,0,0,0,0,0,0,1188,PC
jdavies,V,23-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,23-Oct-12,3,2,0,0,0,0,0,1192,PC
mdowling,W,24-Oct-12,0,0,3.5,0,0,0,0,1188,PG
mdowling,W,24-Oct-12,0,2,2,0,0,0,0,28,PC
mdowling,W,24-Oct-12,2,0,0,0,0,0,0,1192,PC
jdavies,V,24-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,24-Oct-12,4,0,0,0,0,0,0,1188,PC
mdowling,W,24-Oct-12,2,0,0,0,0,0,0,1188,PG
mdowling,W,25-Oct-12,5,0,0,0,0,0,0,1188,PI
jdavies,V,25-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,25-Oct-12,3,1.5,0,0,0,0,0,1192,PI
mdowling,W,26-Oct-12,5,0,0,0,0,0,0,1188,PI
jdavies,V,26-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,26-Oct-12,3,0.5,0,0,0,0,0,1192,PI
mdowling,W,29-Oct-12,2,0,0,0,0,0,0,1330,PI
jdavies,V,29-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,29-Oct-12,6,1,0,0,0,0,0,1330,PI
mdowling,W,30-Oct-12,4,0,0,0,0,0,0,1217,PI
mdowling,W,30-Oct-12,1,0,0,0,0,0,0,1192,PI
jdavies,V,30-Oct-12,8,0,0,0,0,0,0,1329,PI
mdowling,W,30-Oct-12,3,0.5,0,0,0,0,0,28,PI
mdowling,W,31-Oct-12,5,0,0,0,0,0,0,1192,PI
jdavies,V,31-Oct-12,8,0,0,0,0,0,0,1188,PI
mdowling,W,31-Oct-12,3,0,0,0,0,0,0,1188,PI
mdowling,W,1-Nov-12,4,0,0,0,0,0,0,1192,PC
jdavies,V,1-Nov-12,6.5,0,0,0,0,0,0,1237,PI
jdavies,V,1-Nov-12,1.5,0,0,0,0,0,0,1329,PI
mdowling,W,1-Nov-12,4,0,0,0,0,0,0,28,PC
mdowling,W,2-Nov-12,4,0,0,0,0,0,0,1188,PC
jdavies,V,2-Nov-12,8,0,0,0,0,0,0,1192,PI
mdowling,W,2-Nov-12,4,0,0,0,0,0,0,28,PC
jdavies,V,5-Nov-12,1,0,0,0,0,0,0,1329,PI
mdowling,W,5-Nov-12,4,0,0,0,0,0,0,28,PC
jdavies,V,5-Nov-12,6,0,0,0,0,0,0,824,PI
jdavies,V,5-Nov-12,1,0,0,0,0,0,0,1332,PI
mdowling,W,5-Nov-12,4,0,0,0,0,0,0,1192,PC
jdavies,V,6-Nov-12,2,0,0,0,0,0,0,1329,PI
mdowling,W,6-Nov-12,4,0,0,0,0,0,0,28,PC
mdowling,W,6-Nov-12,2,0,0,0,0,0,0,1332,PC
jdavies,V,6-Nov-12,6,0,0,0,0,0,0,824,PI
mdowling,W,6-Nov-12,2,0,0,0,0,0,0,1332,PI
jdavies,V,7-Nov-12,2,0,0,0,0,0,0,1329,PI
mdowling,W,7-Nov-12,4,0,0,0,0,0,0,1329,PI
