Invoice Date,Project,Invoice No,Amount Outstanding,Project,Branch,Manager,Account
16-Nov-12,P1242,   37310,0,P1242,1060,CWATTS,AIR017
19-Jul-11,,    4697,75380.84,,,,
15-Aug-11,,    5022,-77492.84,,,,
16-Sep-11,P1026,    5357,2112,P1026,1030,LHAACK,CON009
16-Nov-12,P1082,   37352,15787.2,P1082,1020,ALOGAN,ALL003
17-Dec-12,P1082,   37678,6540.05,P1082,1020,ALOGAN,ALL003
17-Dec-12,P1082,   37679,52484.3,P1082,1020,ALOGAN,ALL003
31-May-11,372,    4126,0,372,1080,CHEDDITCH,ALL006
24-Jun-11,372,    4430,0,372,1080,CHEDDITCH,ALL006
24-Jan-12,372,    7022,0,372,1080,CHEDDITCH,ALL006
5-Sep-12,773,   36207,16408.7,773,1030,DBARROW,ARM001
5-Dec-12,,   37512,2446.78,,,,
14-Dec-12,,   37647,0,,,,
9-Dec-11,12325,    6192,-1083.5,12325,1020,JTAX,CLA003
28-May-12,,   35126,3479.3,,,,
18-Dec-12,14072,   37737,668.36,14072,1020,TRABBIDGE,CLA003
12-Oct-12,P1188,   36851,0,P1188,1050,MDOWLING,CLI003
12-Jul-11,,    4618,-233.2,,,,
15-May-12,13516,   34849,0,13516,1060,JTAX,CML004
11-Oct-11,,    5714,0,,,,
1-Mar-11,,    3405,-1447.01,,,,
23-May-12,,   35013,1447.01,,,,
18-Dec-12,867,   37731,0,867,1020,AREID,CRE001
18-Sep-12,P1315,   36452,0,P1315,1030,LHAACK,DEA002
15-Oct-12,P1315,   36945,0,P1315,1030,LHAACK,DEA002
14-Nov-12,14742,   37229,0,14742,1030,DOBRIEN,HIR003
15-Nov-12,P1315,   37279,68777.5,P1315,1030,LHAACK,DEA002
15-Nov-12,P1322,   37282,0,P1322,1030,JLEONELLO,DEA002
15-Nov-12,P1328,   37283,0,P1328,1030,LHAACK,DEA002
17-Jul-12,P1088,   35769,9893.05,P1088,1060,CWATTS,ENV001
14-Dec-12,P1088,   37611,16596.25,P1088,1060,CWATTS,ENV001
18-May-12,P1287,   34947,467.5,P1287,1060,EGAN,ENV004
16-Jul-12,P1287,   35735,489.5,P1287,1060,EGAN,ENV004
17-Jul-12,P1084,   35776,15490.03,P1084,1060,RGILL,ENV004
15-Aug-12,P1287,   36033,165,P1287,1060,EGAN,ENV004
16-Nov-12,P1287,   37312,545.88,P1287,1060,EGAN,ENV004
14-Dec-12,P1287,   37624,3790.11,P1287,1060,EGAN,ENV004
18-Oct-11,10608,    5854,7720.9,10608,1020,AULANOV,ILL001
31-May-12,13705,   35196,-7720.9,13705,1020,NHEYDON,ILL001
30-Oct-12,,   37120,-1776.95,,,,
2-Nov-12,13326,   37155,1776.95,13326,1060,JTAX,FIR001
14-Nov-12,12393,   37235,0,12393,1060,BRATCLIFFE,FIR001
17-Sep-12,P1296,   36386,0,P1296,1020,AMCCLENAHAN,GAR001
4-Oct-12,14593,   36740,1584,14593,1020,NHEYDON,CML008
31-Aug-10,,    1139,0,,,,
21-Jul-10,,    1834,0,,,,
31-Aug-10,,    1835,0,,,,
10-Dec-12,14431,   37556,0,14431,1020,PVERGAUWE,GRO001
10-Dec-12,842,   37567,0,842,1020,NHEYDON,GRO001
19-Dec-12,14764,   37762,0,14764,1020,PVERGAUWE,GRO001
10-Dec-12,14299,   37554,0,14299,1060,JTAX,HAD005
14-Dec-12,P1090,   37612,0,P1090,1060,RGILL,HAD005
14-Dec-12,P1201BMS,   37617,0,P1201BMS,1060,OARIZACASTILLO,HAD005
