Project,Branch,Manager,Type,Cost,Document type,ParentKey,Type,Category,Project Type,Arch Date Filter,Rep,Team Leader
10442,1020,JTAX,CN,65,SO,82-001,S,101,CA,14-Feb-12,IU,AR
10442,1020,JTAX,CN,440,SO,82-001,S,101,CA,14-Feb-12,IU,AR
10442,1020,JTAX,SI,0,SO,82-001,S,SPI,CA,14-Feb-12,IU,AR
10644,1030,DBARROW,PY,474,TS,75-001,S,SSM,PM,6-Feb-12,HR,JM
10644,1030,DBARROW,PY,474,TS,75-001,S,SSM,PM,6-Feb-12,HR,SD
10644,1030,DBARROW,PY,474,TS,75-001,S,SSM,PM,6-Feb-12,HR,SD
10644,1030,DBARROW,PY,474,TS,75-001,S,SSM,PM,6-Feb-12,WK,SD
11399,1020,TRABBIDGE,CN,65,SO,93-002,S,101,CO,14-Mar-12,JI,NH
11399,1020,TRABBIDGE,CN,936,SO,93-002,S,101,CO,14-Mar-12,JI,NH
11399,1020,TRABBIDGE,IN,-65,SO,93-002,S,101,CO,14-Mar-12,JI,NH
11399,1020,TRABBIDGE,IN,-936,SO,93-002,S,101,CO,14-Mar-12,JI,NH
11399,1020,TRABBIDGE,SI,0,SO,93-002,S,SPI,CO,14-Mar-12,JI,NH
11399,1020,TRABBIDGE,SI,0,SO,93-002,S,SPI,CO,14-Mar-12,JI,NH
11565,1050,MDOWLING,IN,-65,SO,94-001,S,101,CO,9-Feb-12,RR,RR
11565,1050,MDOWLING,IN,-244,SO,94-001,S,101,CO,9-Feb-12,RR,RR
11565,1050,MDOWLING,IN,-150,SO,94-001,S,101,CO,9-Feb-12,RR,RR
11565,1050,MDOWLING,SI,0,SO,94-001,S,SPI,CO,9-Feb-12,RR,RR
12144,1021,GABERNETHY,PY,-1264,TS,160-001,S,SP,SQ,11-May-12,IU,AR
12144,1021,GABERNETHY,PY,-1264,TS,160-001,S,SP,SQ,11-May-12,IU,AR
12146,1021,GABERNETHY,PP,162.59,PO,160-001,S,SPS,SQ,21-Feb-12,IU,AR
12146,1021,GABERNETHY,PP,162.59,PO,160-001,S,SPS,SQ,21-Feb-12,IU,AR
12413,1060,JSHEPHERD,IN,-65,SO,21-007,S,101,CO,21-Feb-12,JT,JT
12413,1060,JSHEPHERD,IN,-244,SO,21-007,S,101,CO,21-Feb-12,JT,JT
12413,1060,JSHEPHERD,CN,65,SO,21-007,S,101,CO,22-Feb-12,JT,JT
12413,1060,JSHEPHERD,CN,244,SO,21-007,S,101,CO,22-Feb-12,JT,JT
12413,1060,JSHEPHERD,IN,-65,SO,21-007,S,101,CO,22-Feb-12,JT,JT
12413,1060,JSHEPHERD,IN,-234,SO,21-007,S,101,CO,22-Feb-12,JT,JT
12413,1060,JSHEPHERD,PY,158,TS,21-007,S,SCO,CO,14-Feb-12,JT,JT
12413,1060,JSHEPHERD,SI,0,SO,21-007,S,SPI,CO,21-Feb-12,JT,JT
12413,1060,JSHEPHERD,SI,0,SO,21-007,S,SPI,CO,22-Feb-12,JT,JT
12413,1060,JSHEPHERD,SI,0,SO,21-007,S,SPI,CO,22-Feb-12,JT,JT
12453,1020,NHEYDON,IN,-65,SO,149-001,S,101,CO,20-Feb-12,JI,NH
12453,1020,NHEYDON,IN,-976,SO,149-001,S,101,CO,20-Feb-12,JI,NH
12453,1020,NHEYDON,PY,118.5,TS,149-001,S,SCO,CO,17-Feb-12,JI,NH
12453,1020,NHEYDON,PY,770.25,TS,149-001,S,SCO,CO,17-Feb-12,JI,NH
12453,1020,NHEYDON,SI,0,SO,149-001,S,SPI,CO,20-Feb-12,JI,NH
12499,1050,MDOWLING,PY,261,TS,107-001,S,SCO,CA,11-May-12,RR,RR
12615,1080,MSUTTON,SI,26.65,SO,85-001,S,SPI,PM,3-Feb-12,MS,MS
12615,1080,MSUTTON,SI,26.65,SO,85-001,S,SPI,PM,3-Feb-12,MSA,MS
12634,1010,NVAUGHAN,PY,276.5,TS,Z0-001,S,SCO,SW,2-Feb-12,JM,CK
12634,1010,NVAUGHAN,PY,276.5,TS,Z0-001,S,SCO,SW,2-Feb-12,JM,CK
12634,1010,NVAUGHAN,PY,276.5,TS,Z0-001,S,SCO,SW,2-Feb-12,JM,CK
12634,1010,NVAUGHAN,PY,276.5,TS,Z0-001,S,SCO,SW,2-Feb-12,JM,CK
12704,1050,MDOWLING,IN,-85,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,IN,-1012.5,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,IN,-279,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,IN,-1500,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,PP,11.91,PO,89-002,S,GOP,CA,20-Mar-12,RR,RR
12704,1050,MDOWLING,PY,-348,TS,89-002,S,SCO,CA,29-Feb-12,RR,RR
12704,1050,MDOWLING,PY,174,TS,89-002,S,SCO,CA,29-Feb-12,RR,RR
12704,1050,MDOWLING,PY,174,TS,89-002,S,SCO,CA,11-May-12,RR,RR
12704,1050,MDOWLING,PY,174,TS,89-002,S,SCO,CA,11-May-12,RR,RR
12704,1050,MDOWLING,PY,87,TS,89-002,S,SCO,CA,11-May-12,RR,RR
12704,1050,MDOWLING,PY,217.5,TS,89-002,S,SCO,CA,11-May-12,RR,RR
12704,1050,MDOWLING,SI,0,SO,89-002,S,SPI,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,PP,134,PO,89-002,S,SPS,CA,7-Feb-12,RR,RR
12704,1050,MDOWLING,PP,30,PO,89-002,S,SPS,CA,7-Feb-12,RR,RR
12704,1050,MDOWLING,IN,-85,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,IN,-1012.5,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,IN,-279,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,IN,-1500,SO,89-002,S,101,CA,21-Mar-12,RR,RR
12704,1050,MDOWLING,PP,11.91,PO,89-002,S,GOP,CA,20-Mar-12,RR,RR
12704,1050,MDOWLING,PY,-348,TS,89-002,S,SCO,CA,29-Feb-12,RR,RR
12704,1050,MDOWLING,PY,174,TS,89-002,S,SCO,CA,29-Feb-12,RR,RR
12704,1050,MDOWLING,PY,174,TS,89-002,S,SCO,CA,11-May-12,RR,RR
12704,1050,MDOWLING,PY,174,TS,89-002,S,SCO,CA,11-May-12,RR,RR
