Invoice Date,Project,Invoice No,Amount Outstanding,Project,Branch,Manager,Account
15-Nov-12,P1317,   37281,0,P1317,1030,JLEONELLO,AES001
15-Nov-12,P1354,   37285,0,P1354,1030,JLEONELLO,AES001
15-Nov-12,P1355,   37286,0,P1355,1030,JLEONELLO,AES001
18-Sep-12,P1323,   36455,0,P1323,1030,JLEONELLO,AGC001
13-Sep-12,,   36352,0,,,,
1-Oct-12,,   36693,0,,,,
30-Oct-12,,   37105,0,,,,
30-Nov-12,,   37446,0,,,,
20-Jun-11,11667,    4520,0,11667,1020,TRABBIDGE,BRO002
16-Nov-12,P1242,   37310,1287,P1242,1060,CWATTS,AIR017
19-Jul-11,,    4697,75380.84,,,,
15-Aug-11,,    5022,-77492.84,,,,
16-Sep-11,P1026,    5357,2112,P1026,1030,LHAACK,CON009
6-Dec-11,,    6510,0,,,,
15-Nov-12,P1117,   37272,0,P1117,1030,RTHOMAS,ALL002
16-Nov-12,P1082,   37352,15787.2,P1082,1020,ALOGAN,ALL003
31-May-11,372,    4126,6039,372,1080,CHEDDITCH,ALL006
24-Jun-11,372,    4430,2684,372,1080,CHEDDITCH,ALL006
24-Jan-12,372,    7022,10682.1,372,1080,CHEDDITCH,ALL006
5-Sep-12,773,   36207,16408.7,773,1030,DBARROW,ARM001
15-Mar-12,,    7700,0,,,,
29-Nov-12,14415,   37436,0,14415,1020,SRUTHERFORD,MIR002
16-Apr-10,,00040963,0,,,,
30-Nov-12,,   37479,0,,,,
21-Nov-12,,   37365,0,,,,
9-Nov-12,,  000120,-0.3,,,,
9-Dec-11,12325,    6192,-1083.5,12325,1020,JTAX,CLA003
28-May-12,,   35126,3479.3,,,,
12-Oct-12,P1188,   36851,687.5,P1188,1050,MDOWLING,CLI003
12-Jul-11,,    4618,-233.2,,,,
15-May-12,13516,   34849,671,13516,1060,JTAX,CML004
25-Oct-12,,   37049,0,,,,
11-Oct-11,,    5714,2246.2,,,,
14-Nov-12,14753,   37228,0,14753,1030,WJABER,ENT001
12-Nov-12,,   36181,0,,,,
12-Nov-12,14027,   37202,0,14027,1080,MSUTTON,COL001
16-Mar-12,P1145CV2,    7726,0,P1145CV2,1030,JLEONELLO,COM015
1-Mar-11,,    3405,-1447.01,,,,
23-May-12,,   35013,1447.01,,,,
1-Oct-12,, DEA-001,0,,,,
18-Sep-12,P1315,   36452,-11,P1315,1030,LHAACK,DEA002
15-Oct-12,P1315,   36945,55000,P1315,1030,LHAACK,DEA002
14-Nov-12,14742,   37229,3740,14742,1030,DOBRIEN,HIR003
15-Nov-12,P1315,   37279,79420,P1315,1030,LHAACK,DEA002
15-Nov-12,P1322,   37282,7188.05,P1322,1030,JLEONELLO,DEA002
15-Nov-12,P1328,   37283,8800,P1328,1030,LHAACK,DEA002
28-Feb-12,,    7508,0,,,,
18-Jul-12,,   35808,0,,,,
15-Oct-12,P1135,   36883,0,P1135,1060,CWATTS,DOR001
16-Nov-12,P1135,   37301,0,P1135,1060,CWATTS,DOR001
17-Jul-12,P1088,   35769,13750,P1088,1060,CWATTS,ENV001
18-May-12,P1287,   34947,467.5,P1287,1060,EGAN,ENV004
16-Jul-12,P1287,   35735,489.5,P1287,1060,EGAN,ENV004
17-Jul-12,P1084,   35776,15490.03,P1084,1060,CWATTS,ENV004
15-Aug-12,P1287,   36033,165,P1287,1060,EGAN,ENV004
16-Nov-12,P1287,   37312,545.88,P1287,1060,EGAN,ENV004
18-Oct-11,10608,    5854,7720.9,10608,1020,AULANOV,ILL001
31-May-12,13705,   35196,-7720.9,13705,1020,NHEYDON,ILL001
31-May-12,13705,   35197,0,13705,1020,NHEYDON,ILL001
30-Oct-12,,   37120,-1776.95,,,,
2-Nov-12,13326,   37155,1776.95,13326,1060,JTAX,FIR001
14-Nov-12,12393,   37235,217.8,12393,1060,BRATCLIFFE,FIR001
17-Sep-12,P1296,   36386,16500,P1296,1020,AMCCLENAHAN,GAR001
4-Oct-12,14593,   36740,1584,14593,1020,NHEYDON,CML008
12-Oct-12,13200,   36859,0,13200,1020,JERRIQUEZ,CML008
9-Nov-12,845,   37186,0,845,1020,NHEYDON,GOO004
15-Nov-12,14833,   37295,0,14833,1020,NHEYDON,CML008
21-Jul-10,,     825,0,,,,
31-Aug-10,,    1139,-13713.32,,,,
21-Jul-10,,    1834,6334.16,,,,
31-Aug-10,,    1835,6334.16,,,,
5-Sep-12,782,   36208,0,782,1030,DOBRIEN,GRO002
29-Sep-10,P552M,    1442,0,P552M,1030,LHAACK,HAD001
15-Oct-12,P1235,   36951,0,P1235,1080,MMCGRATH,HAD004
29-Oct-12,P1363,   37099,0,P1363,1020,MPATEL,HAD004
15-Nov-12,P1363,   37251,0,P1363,1020,MPATEL,HAD004
16-Apr-10,,00030712,0,,,,
12-Sep-12,, HAS-006,0,,,,
19-Sep-12,14318,   36460,3079.79,14318,1030,WJABER,HAZ001
31-Oct-12,13548,   37139,0,13548,1030,TRUDERMAN,HIR003
13-Nov-12,,   37214,0,,,,
14-Nov-12,14716,   37230,0,14716,1030,DOBRIEN,HIR003
14-Nov-12,14717,   37231,0,14717,1030,DOBRIEN,HIR003
14-Nov-12,14765,   37232,0,14765,1030,DOBRIEN,HIR003
15-Nov-12,13540,   37266,0,13540,1030,TRUDERMAN,HIR003
15-Nov-12,13546,   37267,0,13546,1030,TRUDERMAN,HIR003
23-Nov-12,14856,   37383,0,14856,1030,DOBRIEN,HIR003
29-Aug-12,14333,   36148,0,14333,1020,SRUTHERFORD,INT012
10-Sep-12,,   36267,12496.88,,,,
12-Sep-11,,    5251,0,,,,
30-Nov-11,12461,    6452,474.1,12461,1020,CMERRIGAN,JAM002
25-May-12,13633,   35075,-1673.1,13633,1020,BBILLEAUD,JAM002
28-May-12,,   35123,89.8,,,,
30-Oct-12,,   37118,0,,,,
15-Nov-12,P1360,   37252,21083.33,P1360,1020,MPATEL,JAM002
28-Nov-12,,   37417,0,,,,
1-Nov-12,14727,   37145,132,14727,1030,ELACARIA,COL016
13-Nov-12,,   37212,2466.64,,,,
13-Nov-12,14754,   37216,1203.4,14754,1030,AEVANS,JAM003
27-Nov-12,14737,   37404,957,14737,1030,SDOWNES,JAM003
27-Nov-12,14836,   37405,499.4,14836,1030,SDOWNES,JAM003
28-Nov-12,14728,   37423,2646.7,14728,1030,SDOWNES,JAM003
30-Nov-12,,   37454,5181,,,,
28-Nov-11,12452,    6418,1083.5,12452,1020,JERRIQUEZ,WOL001
30-Nov-12,,   37461,0,,,,
18-Sep-12,P1299,   36449,0,P1299,1030,JLEONELLO,JOH006
1-Nov-12,P1299,   36450,0,P1299,1030,JLEONELLO,JOH006
23-Nov-12,13770,   37384,0,13770,1030,DBARROW,JON002
15-Mar-11,P1064,    3156,23352.07,P1064,1080,MSUTTON,JON003
