Transaction,Proj No,Branch,Manager,Type,Cost,Document type
17-Dec-12,PP832,9020,GONG,IN,-992,SO
15-Mar-12,P1081,9010,GONG,IN,-46375,SO
15-Mar-12,P1057,9010,GONG,IN,-10552.4,SO
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,288,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,768,TS
6-Jul-12,P1057,9010,GONG,PY,288,TS
6-Jul-12,P1057,9010,GONG,PY,480,TS
22-Mar-12,P1145,9010,GONG,IN,-26675.5,SO
17-Dec-12,P1145,9010,GONG,IN,-26675.5,SO
6-Jul-12,P1145,9010,GONG,PY,768,TS
6-Jul-12,P1145,9010,GONG,PY,768,TS
6-Jul-12,P1145,9010,GONG,PY,768,TS
6-Jul-12,P1145,9010,GONG,PY,768,TS
6-Jul-12,P1145,9010,GONG,PY,768,TS
6-Jul-12,P1145,9010,GONG,PY,576,TS
6-Jul-12,P1145,9010,GONG,PY,288,TS
6-Jul-12,P1145,9010,GONG,PY,384,TS
6-Jul-12,P1145,9010,GONG,PY,768,TS
6-Jul-12,P1145,9010,GONG,PY,768,TS
6-Jul-12,P1145,9010,GONG,PY,768,TS
22-Mar-12,P1137,9010,GONG,IN,-2193.75,SO
17-Dec-12,P1137,9010,GONG,IN,-758.25,SO
22-Mar-12,P1207,9010,GONG,IN,-8831.25,SO
17-Dec-12,P1207,9010,GONG,IN,-2943.75,SO
6-Jul-12,P1207,9010,GONG,PY,768,TS
6-Jul-12,P1207,9010,GONG,PY,288,TS
6-Jul-12,P1207,9010,GONG,PY,192,TS
6-Jul-12,P1207,9010,GONG,PY,384,TS
6-Jul-12,P1207,9010,GONG,PY,288,TS
6-Jul-12,P1207,9010,GONG,PY,768,TS
6-Jul-12,P1207,9010,GONG,PY,768,TS
6-Jul-12,P1207,9010,GONG,PY,288,TS
6-Jul-12,P1207,9010,GONG,PY,288,TS
6-Jul-12,P1207,9010,GONG,PY,384,TS
6-Jul-12,P1207,9010,GONG,PY,480,TS
6-Jul-12,P1207,9010,GONG,PY,288,TS
6-Jul-12,P1207,9010,GONG,PY,288,TS
6-Jul-12,P1207,9010,GONG,PY,480,TS
6-Jul-12,P1207,9010,GONG,PY,384,TS
6-Jul-12,P1207,9010,GONG,PY,384,TS
6-Jul-12,P1207,9010,GONG,PY,480,TS
6-Jul-12,P1207,9010,GONG,PY,288,TS
6-Jul-12,P1207,9010,GONG,PY,288,TS
6-Jul-12,P1207,9010,GONG,PY,192,TS
6-Jul-12,P1207,9010,GONG,PY,288,TS
6-Jul-12,P1207,9010,GONG,PY,480,TS
6-Jul-12,P1207,9010,GONG,PY,480,TS
22-Mar-12,P1124,9030,GONG,IN,-4566,SO
22-Mar-12,P1210,9030,GONG,IN,-2283,SO
16-Mar-12,P1090,9060,GONG,IN,-5000,SO
24-Mar-12,P1090,9060,GONG,CN,5000,SO
26-Mar-12,P1090,9060,GONG,IN,-5000,SO
6-Jul-12,P1090,9060,GONG,PY,384,TS
6-Jul-12,P1090,9060,GONG,PY,576,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,480,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,384,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,384,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,576,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,384,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,384,TS
6-Jul-12,P1090,9060,GONG,PY,384,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,192,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,576,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
6-Jul-12,P1090,9060,GONG,PY,384,TS
6-Jul-12,P1090,9060,GONG,PY,192,TS
6-Jul-12,P1090,9060,GONG,PY,768,TS
8-Aug-12,P1238,9060,GONG,IN,-12648,SO
6-Jul-12,P1238,9060,GONG,PY,768,TS
6-Jul-12,P1238,9060,GONG,PY,384,TS
6-Jul-12,P1238,9060,GONG,PY,288,TS
6-Jul-12,P1238,9060,GONG,PY,768,TS
6-Jul-12,P1238,9060,GONG,PY,768,TS
6-Jul-12,P1238,9060,GONG,PY,384,TS
6-Jul-12,P1238,9060,GONG,PY,384,TS
6-Jul-12,P1238,9060,GONG,PY,576,TS
6-Jul-12,P1238,9060,GONG,PY,288,TS
6-Jul-12,P1238,9060,GONG,PY,192,TS
6-Jul-12,P1238,9060,GONG,PY,192,TS
6-Jul-12,P1238,9060,GONG,PY,384,TS
6-Jul-12,P1238,9060,GONG,PY,768,TS
6-Jul-12,P1238,9060,GONG,PY,576,TS
6-Jul-12,P1238,9060,GONG,PY,768,TS
6-Jul-12,P1238,9060,GONG,PY,384,TS
6-Jul-12,P1238,9060,GONG,PY,768,TS
6-Jul-12,P1238,9060,GONG,PY,768,TS
