Invoice Date,Project,Invoice No,Amount Outstanding,Project,Branch,Manager,Account
16-Nov-12,P1082,   37352,0,P1082,1020,RFRANCIS,ALL003
17-Dec-12,P1082,   37678,0,P1082,1020,RFRANCIS,ALL003
5-Sep-12,773,   36207,16408.7,773,1030,DBARROW,ARM001
5-Dec-12,,   37512,2446.78,,,,
30-Jan-13,,   37975,1119.8,,,,
9-Dec-11,12325,    6192,-1083.5,12325,1020,JTAX,CLA003
28-May-12,,   35126,1083.5,,,,
16-Jan-13,P1341,   37888,7975,P1341,1020,JSILVESTRO,CLI001
30-Jan-13,,   38008,2441.25,,,,
15-Nov-12,P1315,   37279,68777.5,P1315,1030,LHAACK,DEA002
17-Jul-12,P1088,   35769,0,P1088,1060,CWATTS,ENV001
14-Dec-12,P1088,   37611,5000,P1088,1060,CWATTS,ENV001
7-Jan-13,,   37781,1493.23,,,,
18-Jan-13,,   37906,1493.23,,,,
18-May-12,P1287,   34947,467.5,P1287,1060,EGAN,ENV004
16-Jul-12,P1287,   35735,489.5,P1287,1060,EGAN,ENV004
17-Jul-12,P1084,   35776,15490.03,P1084,1060,CWATTS,ENV004
15-Aug-12,P1287,   36033,165,P1287,1060,EGAN,ENV004
16-Nov-12,P1287,   37312,545.88,P1287,1060,EGAN,ENV004
14-Dec-12,P1287,   37624,3790.11,P1287,1060,EGAN,ENV004
15-Jan-13,P1287,   37850,256.19,P1287,1060,EGAN,ENV004
29-Jan-13,14624,   37960,1056,14624,1080,CHEDDITCH,MIR002
30-Nov-11,12461,    6452,474.1,12461,1020,CMERRIGAN,JAM002
25-May-12,13633,   35075,-1673.1,13633,1020,BBILLEAUD,JAM002
28-May-12,,   35123,89.8,,,,
15-Nov-12,P1360,   37252,21083.33,P1360,1020,MPATEL,JAM002
7-Dec-12,14853,   37533,0,14853,1030,AEVANS,JAM003
18-Dec-12,,   37710,0,,,,
18-Dec-12,,   37711,0,,,,
25-Jan-13,15039,   37950,0,15039,1030,AEVANS,JAM003
30-Jan-13,,   37977,0,,,,
30-Jan-13,,   37978,0,,,,
28-Nov-11,12452,    6418,1083.5,12452,1020,JERRIQUEZ,WOL001
30-Jan-13,,   37988,784.66,,,,
15-Mar-11,P1064,    3156,23352.07,P1064,1080,MSUTTON,JON003
23-Dec-11,,    6829,6811.2,,,,
28-Aug-12,,   36142,1846.42,,,,
22-Nov-12,,   37372,3667.47,,,,
8-Jan-13,,   37787,3506.03,,,,
14-Jan-13,,   37822,17545.92,,,,
22-Mar-12,12750,    7821,474.1,12750,1020,MDOWLING,EMM001
12-Oct-12,P1258,   36844,5000,P1258,1080,CHEDDITCH,MAR002
16-May-11,N193M,    3897,6042.3,N193M,1020,CHEDDITCH,MIR002
24-Jul-12,,   35881,-1445.59,,,,
28-Nov-12,14413,   37432,8451.63,14413,1020,SRUTHERFORD,MIR002
5-Dec-12,14292,   37438,6135.36,14292,1020,SRUTHERFORD,MIR002
11-Dec-12,15025,   37584,1644.5,15025,1020,CMERRIGAN,MIR002
7-Dec-12,14471,   37545,-5868.5,14471,1030,DOBRIEN,MON001
11-Jan-13,15186,   37820,569.8,15186,1030,SDOWNES,MON001
15-Jan-13,15199,   37869,358.6,15199,1030,SDOWNES,MON001
30-Jan-13,15292,   38007,358.6,15292,1030,DOBRIEN,MON001
15-Aug-12,P1098,   36051,432.1,P1098,1060,CWATTS,MPM001
17-Sep-12,P1098,   36422,1370,P1098,1060,CWATTS,MPM001
15-Nov-12,P1320,   37254,536.25,P1320,1020,RFRANCIS,MWA002
20-Nov-12,,   37338,599.85,,,,
21-Jan-13,P1172,   37916,21092.5,P1172,1060,RGILL,PER002
21-Jan-13,P1172,   37917,11289.8,P1172,1060,RGILL,PER002
30-Nov-10,28,    2419,10256.4,28,1020,AULANOV,RAM001
11-Oct-11,10806,    5718,31531.5,10806,1030,NVAUGHAN,HIR003
16-May-12,P1275,   34902,1831.14,P1275,1030,JLEONELLO,ROU001
16-Jul-12,P1275,   35705,2746.71,P1275,1030,JLEONELLO,ROU001
16-Aug-12,P1275,   36072,2288.93,P1275,1030,JLEONELLO,ROU001
15-Oct-12,P1275,   36892,2290.93,P1275,1030,JLEONELLO,ROU001
22-Jan-13,14757,   37920,0,14757,1080,CSTAMATIS,SPO003
22-Jan-13,15051,   37921,0,15051,1080,MSUTTON,SPO003
28-Feb-12,13031,    7515,-586.3,13031,1030,GKAICER,SWI001
15-Jan-13,P1337,   37854,-3300,P1337,1060,RGILL,WES003
